导出时间,操作人,样品信息,文件名,目录,模式,合格数量,不合格数量,合格率
2021-12-16 05:51:35,1,1,1,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/1.csv,all_at_once,89,72,55.27950310559007
2021-12-16 06:01:41,yux,as2,as2-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/as2-all_at_once.csv,all_at_once,105,55,65.625
2021-12-16 06:03:33,yux,as2,as2-real_time,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/as2-real_time.csv,real_time,0,0,0.0
2021-12-16 06:06:20,yux,as2,as2-real_time,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/as2-real_time.csv,real_time,2,0,100.0
2021-12-16 06:20:40,于翔,测试完睡觉,测试完睡觉-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/测试完睡觉-all_at_once.csv,all_at_once,122,38,76.25
2021-12-16 06:26:11,yux,啊！,啊！-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/啊！-all_at_once.csv,all_at_once,124,36,77.5
2021-12-16 06:27:45,yux,啊！,啊！-real_time,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/啊！-real_time.csv,real_time,0,0,0.0
2021-12-16 06:31:15,于翔,真最后一次测试,真最后一次测试-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/真最后一次测试-all_at_once.csv,all_at_once,124,36,77.5
2021-12-16 06:31:40,于翔,真最后一次测试,真最后一次测试-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/真最后一次测试-all_at_once.csv,all_at_once,125,35,78.125
2021-12-16 06:33:09,于翔,真最后一次测试,真最后一次测试-real_time,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/真最后一次测试-real_time.csv,real_time,0,0,0
2021-12-16 06:43:54,,,-all_at_once,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/-all_at_once.csv,all_at_once,119,41,74.375
2021-12-16 06:44:25,,,-real_time,/Users/albertmilagro/PycharmProjects/ClassificationV2/source_code/Results/-real_time.csv,real_time,0,1,0.0
