预测种类,文件名,可信度
HG,HG-4-1.txt,57%
CC,HG-11-4.txt,59%
CC,HG-6-3.txt,53%
CC,HG-2-7.txt,66%
CC,HG-2-6.txt,62%
CC,HG-15-1.txt,68%
CC,HG-6-2.txt,53%
CC,HG-11-5.txt,62%
CC,HG-4-2.txt,63%
LD,HG-13-5.txt,53%
CC,HG-15-3.txt,60%
CC,HG-2-4.txt,64%
CC,HG-2-5.txt,66%
CC,HG-15-2.txt,65%
CC,HG-6-1.txt,54%
LD,HG-13-4.txt,100%
LD,HG-4-3.txt,100%
HG,HG-4-7.txt,63%
CC,HG-11-2.txt,93%
CC,HG-6-5.txt,53%
LD,HG-2-1.txt,100%
CC,HG-13-1.txt,66%
CC,HG-6-4.txt,53%
HG,HG-4-6.txt,58%
CC,HG-11-3.txt,67%
CC,HG-11-1.txt,36%
CC,HG-4-4.txt,40%
CC,HG-13-3.txt,67%
CC,HG-15-5.txt,64%
HG,HG-10-11.txt,59%
CC,HG-2-2.txt,63%
HH,HG-2-3.txt,35%
HG,HG-10-10.txt,35%
CC,HG-15-4.txt,61%
CC,HG-13-2.txt,39%
CC,HG-4-5.txt,37%
CC,HG-3-4.txt,62%
CC,4-1206正常品-4.txt,63%
CC,HG-14-3.txt,92%
CC,5-正常品+划痕-1.txt,33%
CC,HG-1-6.txt,54%
CC,HG-2-12.txt,62%
HG,HG-12-5.txt,34%
CC,HG-5-2.txt,37%
HG,HG-10-7.txt,59%
CC,HG-5-3.txt,32%
HG,HG-10-6.txt,58%
HG,HG-12-4.txt,35%
CC,HG-2-13.txt,62%
CC,HG-14-2.txt,62%
CC,HG-1-7.txt,54%
CC,4-1206正常品-5.txt,58%
CC,HG-3-5.txt,65%
CC,5-正常品+划痕-2.txt,35%
CC,HG-1-5.txt,55%
CC,HG-2-11.txt,66%
LD,HG-10-4.txt,36%
HG,HG-5-1.txt,37%
CC,1206端头粗糙-2-8.txt,90%
CC,HG-10-5.txt,36%
CC,HG-2-10.txt,62%
CC,HG-1-4.txt,53%
