预测种类,文件名,可信度
HG,HG-4-1.txt,67%
HG,HG-11-4.txt,64%
HG,HG-6-3.txt,78%
HG,HG-2-7.txt,42%
HG,HG-2-6.txt,42%
HG,HG-15-1.txt,83%
HG,HG-6-2.txt,93%
HG,HG-11-5.txt,56%
HG,HG-4-2.txt,76%
HG,HG-13-5.txt,82%
HG,HG-15-3.txt,81%
HG,HG-2-4.txt,42%
HG,HG-2-5.txt,42%
HG,HG-15-2.txt,83%
HG,HG-6-1.txt,93%
HG,HG-13-4.txt,82%
HG,HG-4-3.txt,74%
HG,HG-4-7.txt,74%
HG,HG-11-2.txt,65%
HG,HG-6-5.txt,93%
HH,HG-2-1.txt,69%
HG,HG-13-1.txt,85%
HG,HG-6-4.txt,10%
HG,HG-4-6.txt,76%
HG,HG-11-3.txt,58%
HG,HG-11-1.txt,62%
HG,HG-4-4.txt,76%
HG,HG-13-3.txt,82%
HG,HG-15-5.txt,81%
HG,HG-10-11.txt,77%
HH,HG-2-2.txt,75%
HH,HG-2-3.txt,48%
HG,HG-10-10.txt,77%
HG,HG-15-4.txt,81%
HG,HG-13-2.txt,82%
HG,HG-4-5.txt,74%
HG,HG-3-4.txt,99%
HH,4-1206正常品-4.txt,49%
HG,HG-14-3.txt,77%
HH,5-正常品+划痕-1.txt,60%
HG,HG-1-6.txt,10%
HG,HG-2-12.txt,42%
HG,HG-12-5.txt,79%
HH,HG-5-2.txt,39%
HG,HG-10-7.txt,77%
HH,HG-5-3.txt,42%
HG,HG-10-6.txt,77%
HG,HG-12-4.txt,79%
HG,HG-2-13.txt,42%
HG,HG-14-2.txt,77%
HG,HG-1-7.txt,88%
HH,4-1206正常品-5.txt,49%
HG,HG-3-5.txt,99%
HH,5-正常品+划痕-2.txt,60%
HG,HG-1-5.txt,94%
HG,HG-2-11.txt,48%
HG,HG-10-4.txt,49%
HH,HG-5-1.txt,39%
HG,1206端头粗糙-2-8.txt,79%
HG,HG-10-5.txt,55%
HG,HG-2-10.txt,42%
HG,HG-1-4.txt,10%
HH,5-正常品+划痕-3.txt,96%
HG,HG-14-1.txt,75%
HG,HG-3-2.txt,10%
HH,4-1206正常品-2.txt,49%
HG,HG-14-5.txt,80%
HG,HG-12-3.txt,78%
HG,HG-7-6.txt,78%
HH,HG-5-4.txt,42%
HG,HG-10-1.txt,47%
HH,HG-5-5.txt,39%
HG,HG-12-2.txt,80%
HG,HG-7-7.txt,76%
HG,HG-14-4.txt,80%
LD,HG-1-1.txt,61%
HH,5-正常品+划痕-6.txt,66%
HH,4-1206正常品-3.txt,49%
HG,HG-3-3.txt,99%
HG,HG-3-1.txt,10%
HH,4-1206正常品-1.txt,64%
HH,5-正常品+划痕-4.txt,89%
LD,HG-1-3.txt,57%
HG,HG-7-5.txt,72%
HG,HG-10-2.txt,55%
HG,HG-10-3.txt,55%
HH,HG-5-6.txt,39%
HG,HG-12-1.txt,80%
LD,HG-1-2.txt,57%
HH,5-正常品+划痕-5.txt,96%
HG,1206端头粗糙-4-5.txt,83%
HG,1206漏镀-1-4.txt,87%
HG,HG-7-9.txt,78%
HG,HG-7-17.txt,70%
HG,1206端头粗糙-2-3.txt,92%
HG,1206端头粗糙-2-2.txt,94%
HG,HG-7-16.txt,64%
HG,HG-7-8.txt,84%
HG,1206端头粗糙-4-4.txt,83%
HG,1206端头粗糙-4-6.txt,83%
HH,HG-9-5.txt,62%
HG,HG-7-14.txt,70%
HG,1206端头粗糙-2-1.txt,94%
HH,HG-9-4.txt,62%
HG,HG-7-15.txt,62%
LD,1206漏镀-3-4.txt,86%
HG,1206端头粗糙-4-3.txt,89%
HG,1206漏镀-1-2.txt,65%
HG,HG-1-9.txt,10%
HG,HG-7-11.txt,80%
HG,HG-10-8.txt,75%
HG,1206端头粗糙-2-5.txt,92%
HG,1206端头粗糙-2-4.txt,92%
HG,HG-10-9.txt,83%
HG,HG-7-10.txt,89%
HH,HG-9-1.txt,62%
LD,1206漏镀-3-1.txt,98%
HG,HG-1-8.txt,97%
HG,1206漏镀-1-3.txt,66%
HG,1206端头粗糙-4-2.txt,89%
HG,1206漏镀-1-1.txt,87%
LD,1206漏镀-3-3.txt,96%
HH,HG-9-3.txt,62%
HG,HG-7-12.txt,84%
HG,1206端头粗糙-2-6.txt,81%
HG,1206端头粗糙-2-7.txt,85%
HH,HG-9-2.txt,62%
HG,HG-7-13.txt,70%
LD,1206漏镀-3-2.txt,49%
HG,1206端头粗糙-4-1.txt,87%
HG,1206端头粗糙-1-2.txt,59%
HG,HG-8-5.txt,73%
